hit_symbol,hit_id,input_symbol,input_id,is_input_gene,num_modules,total_hits,functional_sim_count,phenotype_sim_count,protein_interaction_count,functional_sim_score,functional_sim_rank,phenotype_sim_score,phenotype_sim_rank,interaction_count_rank
MUS81,HGNC:29814,"['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'PALB2', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",N,1,17.0,,,17.0,[],[],[],[],7.0
RFC2,HGNC:9970,"['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'UBE2T', 'FANCI', 'PALB2', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'MAD2L2', 'RAD51C']","['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:25009', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:6764', 'HGNC:9820']",N,1,17.0,,,17.0,[],[],[],[],7.0
RPA1,HGNC:10289,"['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'RFWD3', 'PALB2', 'FANCA', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'MAD2L2', 'RAD51', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25539', 'HGNC:26144', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:6764', 'HGNC:9817', 'HGNC:9820']",N,1,17.0,,,17.0,[],[],[],[],7.0
SLX4,HGNC:23845,"['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'UBE2T', 'FANCI', 'PALB2', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:25009', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",Y,1,17.0,,,17.0,[],[],[],[],7.0
TOP3A,HGNC:11992,"['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",N,1,17.0,,,17.0,[],[],[],[],7.0
ATRIP,HGNC:33499,"['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'UBE2T', 'FANCI', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:25009', 'HGNC:25568', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",N,1,16.0,,,16.0,[],[],[],[],16.0
BARD1,HGNC:952,"['BRCA1', 'BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'SLX4', 'PALB2', 'ERCC4', 'FANCA', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51', 'RAD51C']","['HGNC:1100', 'HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23845', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817', 'HGNC:9820']",N,1,16.0,,,16.0,[],[],[],[],16.0
BRCA2,HGNC:1101,"['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'FANCI', 'PALB2', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25568', 'HGNC:26144', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817', 'HGNC:9820']",Y,1,16.0,,,16.0,[],[],[],[],16.0
RPA3,HGNC:10291,"['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'UBE2T', 'RFWD3', 'PALB2', 'FANCA', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'MAD2L2', 'RAD51', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:25009', 'HGNC:25539', 'HGNC:26144', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:6764', 'HGNC:9817', 'HGNC:9820']",N,1,16.0,,,16.0,[],[],[],[],16.0
ERCC1,HGNC:3433,"['BRCA2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG']","['HGNC:1101', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588']",N,1,15.0,,,15.0,[],[],[],[],21.0
FANCC,HGNC:3584,"['BRCA2', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'PALB2', 'ERCC4', 'FANCA', 'FANCB', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:1101', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",Y,1,15.0,,,15.0,[],[],[],[],21.0
FANCL,HGNC:20748,"['BRCA2', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'PALB2', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:1101', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",Y,1,15.0,,,15.0,[],[],[],[],21.0
PCNA,HGNC:8729,"['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'ERCC4', 'FANCA', 'FANCD2', 'FANCE', 'MAD2L2', 'RAD51', 'RAD51C']","['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3585', 'HGNC:3586', 'HGNC:6764', 'HGNC:9817', 'HGNC:9820']",N,1,15.0,,,15.0,[],[],[],[],21.0
RPA2,HGNC:10290,"['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'UBE2T', 'RFWD3', 'PALB2', 'FANCA', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'MAD2L2', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:25009', 'HGNC:25539', 'HGNC:26144', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:6764', 'HGNC:9820']",N,1,15.0,,,15.0,[],[],[],[],21.0
