index,hit_symbol,hit_id,input_id,input_symbol,functional_sim_score,functional_sim_rank,phenotype_sim_score,phenotype_sim_rank,protein_interaction,protein_interaction_rank
137,UBE2T,HGNC:25009,"['HGNC:9817', 'HGNC:20473', 'HGNC:3436', 'HGNC:1101', 'HGNC:3587', 'HGNC:23845', 'HGNC:26144', 'HGNC:3585', 'HGNC:3586', 'HGNC:20748', 'HGNC:12829', 'HGNC:3584', 'HGNC:3582', 'HGNC:23168', 'HGNC:25568', 'HGNC:3583', 'HGNC:9820', 'HGNC:3588', 'HGNC:25539', 'HGNC:6764', 'HGNC:1100']","['RAD51', 'BRIP1', 'ERCC4', 'BRCA2', 'FANCF', 'SLX4', 'PALB2', 'FANCD2', 'FANCE', 'FANCL', 'XRCC2', 'FANCC', 'FANCA', 'FANCM', 'FANCI', 'FANCB', 'RAD51C', 'FANCG', 'RFWD3', 'MAD2L2', 'BRCA1']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[31.0, 43.0, 427.0, 321.0, 19.0, 37.0, 201.0, 95.0, 95.0, 65.0, 57.0, 95.0, 95.0, 77.0, 249.0, 261.0, 147.0, 41.0, 131.0, 39.0, 377.0]",11.0,41.0
138,UBE2W,HGNC:25616,['HGNC:25009'],['UBE2T'],1.0,[49.0],,[nan],,
139,UBOX5,HGNC:17777,['HGNC:20748'],['FANCL'],1.0,[127.0],,[nan],,
140,USP1,HGNC:12607,"['HGNC:1101', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587']","['BRCA2', 'FANCL', 'FANCM', 'SLX4', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",11.0,41.0
141,UVSSA,HGNC:29304,"['HGNC:3583', 'HGNC:3587']","['FANCB', 'FANCF']",2.0,"[121.0, 121.0]",,"[nan, nan]",,
142,WDR48,HGNC:30914,"['HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25568', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:9817']","['FANCL', 'FANCM', 'SLX4', 'FANCI', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'RAD51']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",11.0,41.0
143,XRCC2,HGNC:12829,"['HGNC:25568', 'HGNC:20748', 'HGNC:3436', 'HGNC:3586', 'HGNC:25009', 'HGNC:1100', 'HGNC:23845', 'HGNC:20473', 'HGNC:9817', 'HGNC:3585', 'HGNC:3582', 'HGNC:3584', 'HGNC:1101', 'HGNC:3588', 'HGNC:26144', 'HGNC:3587', 'HGNC:25539', 'HGNC:23168', 'HGNC:3583', 'HGNC:9820', 'HGNC:6764']","['FANCI', 'FANCL', 'ERCC4', 'FANCE', 'UBE2T', 'BRCA1', 'SLX4', 'BRIP1', 'RAD51', 'FANCD2', 'FANCA', 'FANCC', 'BRCA2', 'FANCG', 'PALB2', 'FANCF', 'RFWD3', 'FANCM', 'FANCB', 'RAD51C', 'MAD2L2']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[291.0, 75.0, 429.0, 215.0, 57.0, 409.0, 91.0, 93.0, 29.0, 215.0, 215.0, 215.0, 357.0, 31.0, 281.0, 27.0, 111.0, 13.0, 265.0, 177.0, 57.0]",,
144,XRCC3,HGNC:12830,"['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:23845', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3585', 'HGNC:3588', 'HGNC:9820']","['BRCA2', 'XRCC2', 'BRIP1', 'SLX4', 'PALB2', 'ERCC4', 'FANCA', 'FANCD2', 'FANCG', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",10.0,51.0
145,ZFP42,HGNC:30949,['HGNC:3582'],['FANCA'],1.0,[124.0],,[nan],,
146,ZSWIM7,HGNC:26993,"['HGNC:3583', 'HGNC:3586', 'HGNC:3587']","['FANCB', 'FANCE', 'FANCF']",3.0,"[52.0, 78.0, 52.0]",,"[nan, nan, nan]",,
