hit_symbol,hit_id,input_symbol,input_id,is_input_gene,num_modules,total_hits,functional_sim_count,protein_interaction_count,functional_sim_score,functional_sim_rank,interaction_count_rank
SPRTN,HGNC:25356,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3374233128834356],[60.0],
SPSB4,HGNC:30630,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.4097222222222222],[4.0],
SRPK2,HGNC:11306,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
STBD1,HGNC:24854,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
STK40,HGNC:21373,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.30526315789473685],[138.0],
STRADA,HGNC:30172,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.328125],[81.0],
STRADB,HGNC:13205,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.30952380952380953],[128.0],
SUMO2,HGNC:11125,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3148148148148148],[112.0],
TCL1A,HGNC:11648,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.36129032258064514],[32.0],
TCL1B,HGNC:11649,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.35],[44.0],
TDG,HGNC:11700,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
TELO2,HGNC:29099,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.32954545454545453],[76.0],
TMEM129,HGNC:25137,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3419354838709677],[57.0],
TMEM59,HGNC:1239,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.324468085106383],[90.0],
TMTC3,HGNC:26899,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.35403726708074534],[39.0],
TOM1L1,HGNC:11983,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3793103448275862],[9.0],
TRAF7,HGNC:20456,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.35294117647058826],[42.0],
TRIB2,HGNC:30809,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3521739130434783],[43.0],
TRPT1,HGNC:20316,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3087248322147651],[131.0],
TTC3,HGNC:12393,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3106060606060606],[123.0],
UBE2C,HGNC:15937,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3285024154589372],[79.0],
UBE2D1,HGNC:12474,['NHLRC1'],['HGNC:21576'],N,1,1.0,,1.0,[],[],13.0
UBE2D3,HGNC:12476,['NHLRC1'],['HGNC:21576'],N,1,1.0,,1.0,[],[],13.0
UBE2E1,HGNC:12477,['NHLRC1'],['HGNC:21576'],N,1,1.0,,1.0,[],[],13.0
UBE2G2,HGNC:12483,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3034188034188034],[147.0],
UBE2H,HGNC:12484,['NHLRC1'],['HGNC:21576'],N,1,1.0,,1.0,[],[],13.0
UBE2K,HGNC:4914,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3008130081300813],[156.0],
UBE2L3,HGNC:12488,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.32196969696969696],[96.0],
UBE2S,HGNC:17895,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.35789473684210527],[35.0],
USP13,HGNC:12611,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.30357142857142855],[146.0],
USP4,HGNC:12627,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3081081081081081],[132.0],
USP5,HGNC:12628,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3475609756097561],[48.0],
WDFY2,HGNC:20482,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.32413793103448274],[93.0],
ZFAND2A,HGNC:28073,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3225806451612903],[95.0],
ZFP91,HGNC:14983,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3686868686868687],[22.0],
ZNRF1,HGNC:18452,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3208955223880597],[99.0],
